cutoff_year,concept_i_ite_donor,concept_j_tg_anchor,i_type,j_type,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,ml_score,graph_adoption_score,actionability_score,hybrid_adoption_score,hybrid_actionability_score
2026,nanochannel-confined ion transport,charge-transfer resistance engineering,transport_mechanism,electrode_interface,19,31,7,31,19,14,12,3.38842773725117,589,2,0.052916983672775635,1,6,1,1,1,0.9437678141367396,1.7352409638554216,1.9152409638554218,0.9921686746987952,1.1721686746987954
2026,redox-solvation hybrid entropy,ferri/ferrocyanide redox chemistry,solvation_entropy,redox_chemistry,15,50,9,47,12,32,12,3.7026472923602416,750,2,0.04349658075124754,1,4,1,1,1,0.9325104896743937,1.745,1.9250000000000003,0.9897590361445783,1.1697590361445784
2026,soft mixed ionic-electronic coupling,gel-confined redox transport,transport_mechanism,gel_microstructure,16,52,3,47,16,38,16,4.586141854696805,832,2,0.004518375834019422,1,10,1,1,1,0.9435222727926145,1.7119277108433735,1.8919277108433736,0.986144578313253,1.1661445783132531
2026,nanochannel-confined ion transport,ferri/ferrocyanide redox chemistry,transport_mechanism,redox_chemistry,19,50,7,47,19,32,16,4.561347258172563,950,2,0.0,1,6,1,1,1,0.9528639518202222,1.6996385542168675,1.8796385542168677,0.9813253012048193,1.1613253012048195
2026,nanochannel-confined ion transport,Fe2+/Fe3+ solvation redox chemistry,transport_mechanism,redox_chemistry,19,47,7,41,19,31,15,4.21537100191137,893,2,0.0077825304968961,1,6,1,1,1,0.9232263253794148,1.7219277108433735,1.9019277108433736,0.9765060240963855,1.1565060240963856
2026,redox-solvation hybrid entropy,chaotropic polymer-water disruption,solvation_entropy,gel_microstructure,15,32,9,18,12,29,10,2.897788083596552,480,2,0.03651879022811467,1,4,1,1,1,0.9299002279883997,1.7030120481927709,1.883012048192771,0.9765060240963855,1.1565060240963856
2026,ion-dipole interaction transport,Fe2+/Fe3+ solvation redox chemistry,transport_mechanism,redox_chemistry,18,47,4,41,15,31,15,4.276968161308921,846,2,0.020849242934540223,1,0,1,1,1,0.9084550413086225,1.7416867469879518,1.921686746987952,0.9740963855421687,1.1540963855421689
2026,ion-dipole interaction transport,dynamic crosslinked gel network,transport_mechanism,gel_microstructure,18,38,4,23,15,33,15,4.22672018795275,684,2,0.0,1,0,1,1,1,0.9422260496286556,1.6840963855421687,1.8640963855421688,0.9722891566265061,1.152289156626506
2026,solvent-shell water/DES regulation,chaotropic polymer-water disruption,solvation_entropy,gel_microstructure,12,32,5,18,11,29,9,2.5432746371081203,384,2,0.07327306856803215,1,5,1,1,1,0.9459147657305201,1.6746385542168674,1.8546385542168675,0.9692771084337349,1.149277108433735
2026,soft mixed ionic-electronic coupling,charge-transfer resistance engineering,transport_mechanism,electrode_interface,16,31,3,31,16,14,10,2.7568531343683715,496,2,0.013754215241258928,1,10,1,1,1,0.9337319706841343,1.6778313253012047,1.8578313253012049,0.9674698795180723,1.1474698795180724
2026,nanochannel-confined ion transport,imidazolium ionic-liquid phase transition electrolyte,transport_mechanism,material_system,19,21,7,13,19,18,10,2.74541945906591,399,2,0.07202723609715016,1,6,1,1,1,0.9239134202422612,1.6871084337349398,1.86710843373494,0.963855421686747,1.1438554216867471
2026,nanochannel-confined ion transport,iodide/triiodide redox chemistry,transport_mechanism,redox_chemistry,19,23,7,18,19,14,12,3.337955943213742,437,2,0.00477713502637384,1,6,1,1,1,0.934234562088939,1.6606626506024096,1.8406626506024097,0.9572289156626506,1.1372289156626507
2026,soft mixed ionic-electronic coupling,imidazolium ionic-liquid phase transition electrolyte,transport_mechanism,material_system,16,21,3,13,16,18,10,2.763234187986584,336,2,0.14199155022246798,1,10,1,1,1,0.9335996426070513,1.656746987951807,1.8367469879518072,0.9506024096385542,1.1306024096385543
2026,ion-dipole interaction transport,iodide/triiodide redox chemistry,transport_mechanism,redox_chemistry,18,23,4,18,15,14,14,3.993389669257587,414,2,0.005151909806188647,1,0,1,1,1,0.9189044457560578,1.6659638554216867,1.8459638554216868,0.9475903614457831,1.1275903614457832
